"Rk","Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","Gls...12","Ast...13","G+A...14","G-PK...15","PK","PKatt","CrdY","CrdR","xG...20","npxG...21","xAG...22","npxG+xAG...23","PrgC","PrgP","PrgR","Gls...27","Ast...28","G+A...29","G-PK...30","G+A-PK","xG...32","xAG...33","xG+xAG","npxG...35","npxG+xAG...36","Matches","logAge"
"346","Will Norris","eng ENG","GK","Wolves",24,"1993","1","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.17805383034795
"347","Michael Obafemi","ie IRL","FW","Southampton",18,"2000","6","1",137,"1.5","1","1","2","1","0","0","1","0","1.7","1.7","0.4","2.1","5","2","12","0.66","0.66","1.31","0.66","1.31","1.1200000000000001","0.23","1.35","1.1200000000000001","1.35","Matches",2.89037175789616
"348","Pedro Obiang","gq EQG","MF","West Ham",26,"1992","24","12",1128,"12.5","0","1","1","0","0","0","0","0","0.6","0.6","1","1.6","11","65","22","0","0.08","0.08","0","0.08","0.05","0.08","0.13","0.05","0.13","Matches",3.25809653802148
"349","Denis Odoi","gh GHA","DF","Fulham",30,"1988","31","29",2594,"28.8","0","1","1","0","0","0","4","0","0.6","0.6","0.7","1.3","36","101","16","0","0.03","0.03","0","0.03","0.02","0.02","0.04","0.02","0.04","Matches",3.40119738166216
"350","Angelo Ogbonna","it ITA","DF","West Ham",30,"1988","24","20",1874,"20.8","1","1","2","1","0","0","2","0","1.8","1.8","0.9","2.8","6","43","1","0.05","0.05","0.1","0.05","0.1","0.09","0.04","0.13","0.09","0.13","Matches",3.40119738166216
"351","Stefano Okaka","it ITA","FW,MF","Watford",28,"1989","2","0",24,"0.3","0","0","0","0","0","0","1","0","0.5","0.5","0.1","0.6","1","1","7","0","0","0","0","0","2.0099999999999998","0.41","2.42","2.0099999999999998","2.42","Matches",3.3322045101752
"352","Shinji Okazaki","jp JPN","MF,FW","Leicester City",32,"1986","21","1",288,"3.2","0","1","1","0","0","0","0","0","0.6","0.6","0.1","0.7","0","7","26","0","0.31","0.31","0","0.31","0.17","0.03","0.2","0.17","0.2","Matches",3.46573590279973
"353","Divock Origi","be BEL","FW","Liverpool",23,"1995","12","4",371,"4.0999999999999996","3","1","4","3","0","0","0","0","2.2000000000000002","2.2000000000000002","0.2","2.2999999999999998","16","7","28","0.73","0.24","0.97","0.73","0.97","0.53","0.04","0.56999999999999995","0.53","0.56999999999999995","Matches",3.13549421592915
"354","Nicolás Otamendi","ar ARG","DF","Manchester City",30,"1988","18","14",1236,"13.7","0","0","0","0","0","0","1","0","1.3","1.3","0.2","1.5","27","92","3","0","0","0","0","0","0.1","0.01","0.11","0.1","0.11","Matches",3.40119738166216
"355","Alex Oxlade-Chamberlain","eng ENG","MF","Liverpool",24,"1993","2","0",21,"0.2","0","0","0","0","0","0","0","0","0.5","0.5","0.1","0.6","0","4","1","0","0","0","0","0","2.33","0.3","2.62","2.33","2.62","Matches",3.17805383034795
"356","Mesut Özil","de GER","MF,FW","Arsenal",29,"1988","24","20",1735,"19.3","5","2","7","5","0","0","2","0","1.7","1.7","4.0999999999999996","5.8","75","146","174","0.26","0.1","0.36","0.26","0.36","0.09","0.21","0.3","0.09","0.3","Matches",3.36729582998647
"357","Emerson Palmieri","it ITA","DF","Chelsea",23,"1994","10","7",663,"7.4","0","0","0","0","0","0","0","0","0.3","0.3","0.3","0.6","39","34","50","0","0","0","0","0","0.04","0.04","0.08","0.04","0.08","Matches",3.13549421592915
"358","Sokratis Papastathopoulos","gr GRE","DF","Arsenal",30,"1988","25","25",2198,"24.4","1","2","3","1","0","0","12","0","0.8","0.8","0.7","1.5","14","43","3","0.04","0.08","0.12","0.04","0.12","0.03","0.03","0.06","0.03","0.06","Matches",3.40119738166216
