"Rk","Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","Gls...12","Ast...13","G+A...14","G-PK...15","PK","PKatt","CrdY","CrdR","xG...20","npxG...21","xAG...22","npxG+xAG...23","PrgC","PrgP","PrgR","Gls...27","Ast...28","G+A...29","G-PK...30","G+A-PK","xG...32","xAG...33","xG+xAG","npxG...35","npxG+xAG...36","Matches","logAge"
"406","Carlos Sánchez","co COL","MF","West Ham",32,"1986","7","2",245,"2.7","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","1","14","1","0","0","0","0","0","0.03","0.02","0.05","0.03","0.05","Matches",3.46573590279973
"407","Davinson Sánchez","co COL","DF","Tottenham",22,"1996","23","22",1942,"21.6","1","1","2","1","0","0","2","0","1.4","1.4","0.4","1.8","5","59","2","0.05","0.05","0.09","0.05","0.09","0.06","0.02","0.08","0.06","0.08","Matches",3.09104245335832
"408","Leroy Sané","de GER","FW","Manchester City",22,"1996","31","21",1867,"20.7","10","10","20","10","0","0","1","0","6.7","6.7","7.4","14.1","84","67","341","0.48","0.48","0.96","0.48","0.96","0.32","0.36","0.68","0.32","0.68","Matches",3.09104245335832
"409","Fabian Schär","ch SUI","DF","Newcastle Utd",26,"1991","24","22",1999,"22.2","4","1","5","4","0","0","12","0","1.9","1.9","0.7","2.6","26","72","8","0.18","0.05","0.23","0.18","0.23","0.08","0.03","0.12","0.08","0.12","Matches",3.25809653802148
"410","Christopher Schindler","de GER","DF","Huddersfield",28,"1990","37","37",3260,"36.200000000000003","1","0","1","1","0","0","5","1","1.1000000000000001","1.1000000000000001","0.2","1.3","15","72","5","0.03","0","0.03","0.03","0.03","0.03","0.01","0.04","0.03","0.04","Matches",3.3322045101752
"411","Jeffrey Schlupp","gh GHA","MF,FW","Crystal Palace",25,"1992","30","18",1670,"18.600000000000001","4","1","5","4","0","0","1","0","3.2","3.2","1.2","4.4000000000000004","35","77","95","0.22","0.05","0.27","0.22","0.27","0.17","0.06","0.24","0.17","0.24","Matches",3.2188758248682
"412","Kasper Schmeichel","dk DEN","GK","Leicester City",31,"1986","38","38",3420,"38","0","0","0","0","0","0","3","0","0.1","0.1","0.4","0.5","0","2","0","0","0","0","0","0","0","0.01","0.01","0","0.01","Matches",3.43398720448515
"413","Morgan Schneiderlin","fr FRA","MF","Everton",28,"1989","14","10",834,"9.3000000000000007","0","1","1","0","0","0","2","0","0.1","0.1","0.4","0.6","6","47","5","0","0.11","0.11","0","0.11","0.02","0.05","0.06","0.02","0.06","Matches",3.3322045101752
"414","André Schürrle","de GER","FW,MF","Fulham",27,"1990","24","21",1641,"18.2","6","0","6","6","0","0","2","0","3.6","3.6","1.9","5.6","46","57","136","0.33","0","0.33","0.33","0.33","0.2","0.11","0.31","0.2","0.31","Matches",3.29583686600433
"415","Ken Sema","se SWE","MF,FW","Watford",24,"1993","17","9",754,"8.4","1","2","3","1","0","0","1","0","0.8","0.8","0.6","1.4","30","17","60","0.12","0.24","0.36","0.12","0.36","0.1","7.0000000000000007E-2","0.17","0.1","0.17","Matches",3.17805383034795
"416","Jean Seri","ci CIV","MF","Fulham",27,"1991","32","27",2244,"24.9","1","2","3","1","0","0","6","0","0.9","0.9","4.8","5.6","26","164","40","0.04","0.08","0.12","0.04","0.12","0.04","0.19","0.23","0.04","0.23","Matches",3.29583686600433
"417","Ryan Sessegnon","eng ENG","FW,DF","Fulham",18,"2000","35","26",2300,"25.6","2","6","8","2","0","0","0","0","4","4","3.8","7.8","57","57","193","0.08","0.23","0.31","0.08","0.31","0.16","0.15","0.31","0.16","0.31","Matches",2.89037175789616
"418","Xherdan Shaqiri","ch SUI","FW,MF","Liverpool",26,"1991","24","11",1064,"11.8","6","3","9","6","0","0","2","0","3.9","3.9","1.6","5.5","28","85","75","0.51","0.25","0.76","0.51","0.76","0.33","0.14000000000000001","0.46","0.33","0.46","Matches",3.25809653802148
"419","Luke Shaw","eng ENG","DF","Manchester Utd",23,"1995","29","29",2591,"28.8","1","4","5","1","0","0","11","0","1.4","1.4","3.9","5.3","90","158","121","0.03","0.14000000000000001","0.17","0.03","0.17","0.05","0.13","0.18","0.05","0.18","Matches",3.13549421592915
"420","Jonjo Shelvey","eng ENG","MF","Newcastle Utd",26,"1992","16","10",948,"10.5","1","1","2","1","0","0","1","0","0.9","0.9","1.7","2.6","13","74","15","0.09","0.09","0.19","0.09","0.19","0.09","0.16","0.25","0.09","0.25","Matches",3.25809653802148
"421","Gylfi Sigurðsson","is ISL","MF","Everton",28,"1989","38","36",3117,"34.6","13","6","19","11","2","5","3","0","10.7","6.7","6.9","13.6","51","172","144","0.38","0.17","0.55000000000000004","0.32","0.49","0.31","0.2","0.51","0.19","0.39","Matches",3.3322045101752
"422","Adrien Silva","pt POR","MF","Leicester City",29,"1989","2","1",88,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","0","0","Matches",3.36729582998647
"423","Bernardo Silva","pt POR","MF,FW","Manchester City",23,"1994","36","31",2854,"31.7","7","7","14","7","0","0","3","0","7.4","7.4","7.8","15.2","152","156","277","0.22","0.22","0.44","0.22","0.44","0.23","0.25","0.48","0.23","0.48","Matches",3.13549421592915
"424","David Silva","es ESP","MF","Manchester City",32,"1986","33","28",2401,"26.7","6","8","14","6","0","0","2","0","7.8","7.8","8.5","16.3","118","270","222","0.22","0.3","0.52","0.22","0.52","0.28999999999999998","0.32","0.61","0.28999999999999998","0.61","Matches",3.46573590279973
"425","Xande Silva","pt POR","FW","West Ham",21,"1997","1","0",18,"0.2","0","0","0","0","0","0","0","0","0.1","0.1","0","0.1","0","0","2","0","0","0","0","0","0.43","0.13","0.55000000000000004","0.43","0.55000000000000004","Matches",3.04452243772342
"426","Danny Simpson","eng ENG","DF","Leicester City",31,"1987","6","3",292,"3.2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","0","0","0","0","0","0","0.01","0.01","0","0.01","Matches",3.43398720448515
"427","Jack Simpson","eng ENG","DF","Bournemouth",21,"1996","6","4",403,"4.5","0","0","0","0","0","0","0","0","0.1","0.1","0","0.1","5","16","0","0","0","0","0","0","0.03","0","0.03","0.03","0.03","Matches",3.04452243772342
"428","Josh Sims","eng ENG","MF","Southampton",21,"1997","7","2",212,"2.4","0","1","1","0","0","0","0","0","0.6","0.6","0.7","1.3","3","0","12","0","0.42","0.42","0","0.42","0.27","0.28999999999999998","0.56000000000000005","0.27","0.56000000000000005","Matches",3.04452243772342
"429","Moussa Sissoko","fr FRA","MF,FW","Tottenham",28,"1989","29","27",2330,"25.9","0","3","3","0","0","0","2","0","0.9","0.9","2.5","3.4","79","97","96","0","0.12","0.12","0","0.12","0.04","0.09","0.13","0.04","0.13","Matches",3.3322045101752
"430","Oliver Skipp","eng ENG","MF","Tottenham",17,"2000","8","2",220,"2.4","0","0","0","0","0","0","0","0","0.1","0.1","0","0.1","2","8","3","0","0","0","0","0","0.03","0.01","0.04","0.03","0.04","Matches",2.83321334405622
"431","Callum Slattery","eng ENG","MF","Southampton",19,"1999","3","1",112,"1.2","0","0","0","0","0","0","0","0","0.1","0.1","0","0.1","0","3","2","0","0","0","0","0","0.06","0","0.06","0.06","0.06","Matches",2.94443897916644
"432","Chris Smalling","eng ENG","DF","Manchester Utd",28,"1989","24","24",2127,"23.6","1","0","1","1","0","0","1","0","1.2","1.2","0.2","1.4","3","35","6","0.04","0","0.04","0.04","0.04","0.05","0.01","0.06","0.05","0.06","Matches",3.3322045101752
"433","Adam Smith","eng ENG","DF,MF","Bournemouth",27,"1991","25","25",2066,"23","1","1","2","1","0","0","5","1","0.5","0.5","0.6","1.1000000000000001","87","98","80","0.04","0.04","0.09","0.04","0.09","0.02","0.02","0.05","0.02","0.05","Matches",3.29583686600433
"434","Tommy Smith","eng ENG","DF","Huddersfield",26,"1992","15","13",1141,"12.7","0","0","0","0","0","0","2","1","0.1","0.1","0.4","0.5","19","35","38","0","0","0","0","0","0.01","0.03","0.04","0.01","0.04","Matches",3.25809653802148
"435","Robert Snodgrass","sct SCO","MF","West Ham",30,"1987","33","25",2220,"24.7","2","5","7","2","0","0","10","0","2.2999999999999998","2.2999999999999998","5.6","8","72","117","148","0.08","0.2","0.28000000000000003","0.08","0.28000000000000003","0.09","0.23","0.32","0.09","0.32","Matches",3.40119738166216
"436","Cédric Soares","pt POR","DF","Southampton",26,"1991","18","16",1495,"16.600000000000001","1","2","3","1","0","0","4","0","0.3","0.3","1","1.4","31","54","66","0.06","0.12","0.18","0.06","0.18","0.02","0.06","0.08","0.02","0.08","Matches",3.25809653802148
"437","Ramadan Sobhi","eg EGY","FW,MF","Huddersfield",21,"1997","4","0",79,"0.9","0","0","0","0","0","0","0","0","0","0","0.2","0.2","3","6","14","0","0","0","0","0","0","0.22","0.22","0","0.22","Matches",3.04452243772342
"438","Dominic Solanke","eng ENG","FW,MF","Bournemouth",20,"1997","10","2",347,"3.9","0","1","1","0","0","0","0","0","1","1","0.4","1.3","10","6","24","0","0.26","0.26","0","0.26","0.25","0.1","0.35","0.25","0.35","Matches",2.99573227355399
"439","Pape Souaré","sn SEN","DF","Crystal Palace",28,"1990","1","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.3322045101752
"440","Çağlar Söyüncü","tr TUR","DF","Leicester City",22,"1996","6","4",372,"4.0999999999999996","0","0","0","0","0","0","1","0","0.1","0.1","0","0.1","2","10","0","0","0","0","0","0","0.02","0","0.02","0.02","0.02","Matches",3.09104245335832
"441","Julián Speroni","ar ARG","GK","Crystal Palace",39,"1979","1","1",90,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.66356164612965
"442","Junior Stanislas","eng ENG","MF,FW","Bournemouth",28,"1989","23","11",1031,"11.5","2","3","5","1","1","1","1","0","3.1","2.2999999999999998","2","4.2","35","58","81","0.17","0.26","0.44","0.09","0.35","0.27","0.17","0.44","0.2","0.37","Matches",3.3322045101752
"443","Dale Stephens","eng ENG","MF","Brighton",29,"1989","30","29",2485,"27.6","1","1","2","1","0","0","6","1","0.3","0.3","0.7","1","16","151","8","0.04","0.04","7.0000000000000007E-2","0.04","7.0000000000000007E-2","0.01","0.02","0.04","0.01","0.04","Matches",3.36729582998647
"444","Jack Stephens","eng ENG","DF","Southampton",24,"1994","24","19",1700,"18.899999999999999","1","0","1","1","0","0","4","0","1","1","0.2","1.2","11","54","6","0.05","0","0.05","0.05","0.05","0.05","0.01","0.06","0.05","0.06","Matches",3.17805383034795
"445","Raheem Sterling","eng ENG","FW","Manchester City",23,"1994","34","31",2771,"30.8","17","9","26","17","0","0","3","0","13.7","13.7","9.6","23.3","155","87","436","0.55000000000000004","0.28999999999999998","0.84","0.55000000000000004","0.84","0.44","0.31","0.76","0.44","0.76","Matches",3.13549421592915
"446","John Stones","eng ENG","DF","Manchester City",24,"1994","24","20",1764,"19.600000000000001","0","0","0","0","0","0","1","0","0.3","0.3","0.2","0.6","44","118","5","0","0","0","0","0","0.02","0.01","0.03","0.02","0.03","Matches",3.17805383034795
"447","Daniel Sturridge","eng ENG","FW,MF","Liverpool",28,"1989","18","4",509,"5.7","2","1","3","2","0","0","1","0","1.2","1.2","0.8","2.1","9","31","37","0.35","0.18","0.53","0.35","0.53","0.22","0.15","0.37","0.22","0.37","Matches",3.3322045101752
"448","Denis Suárez","es ESP","MF,FW","Arsenal",24,"1994","4","0",71,"0.8","0","0","0","0","0","0","0","0","0","0","0","0","3","1","5","0","0","0","0","0","0","0","0","0","0","Matches",3.17805383034795
"449","Isaac Success","ng NGA","FW,MF","Watford",22,"1996","30","9",1052,"11.7","1","1","2","1","0","0","4","0","3.5","3.5","2.8","6.2","35","39","107","0.09","0.09","0.17","0.09","0.17","0.3","0.24","0.53","0.3","0.53","Matches",3.09104245335832
"450","Ki Sung-yueng","kr KOR","MF","Newcastle Utd",29,"1989","18","14",1302,"14.5","0","1","1","0","0","0","2","0","0.3","0.3","1","1.2","12","66","12","0","7.0000000000000007E-2","7.0000000000000007E-2","0","7.0000000000000007E-2","0.02","7.0000000000000007E-2","0.09","0.02","0.09","Matches",3.36729582998647
"451","Andrew Surman","eng ENG","MF","Bournemouth",31,"1986","18","16",1439,"16","0","0","0","0","0","0","2","0","0.3","0.3","0.4","0.7","3","89","10","0","0","0","0","0","0.02","0.02","0.04","0.02","0.04","Matches",3.43398720448515
"452","Sam Surridge","eng ENG","MF,FW","Bournemouth",20,"1998","2","0",13,"0.1","0","0","0","0","0","0","0","0","0.3","0.3","0","0.4","0","0","3","0","0","0","0","0","2.4","0.28999999999999998","2.69","2.4","2.69","Matches",2.99573227355399
"453","Alexander Sørloth","no NOR","FW","Crystal Palace",22,"1995","12","0",185,"2.1","0","0","0","0","0","0","0","0","0.5","0.5","0.9","1.4","4","9","13","0","0","0","0","0","0.23","0.44","0.66","0.23","0.66","Matches",3.09104245335832
"454","Matt Targett","eng ENG","DF","Southampton",22,"1995","16","13",1186,"13.2","1","3","4","1","0","0","2","0","0.5","0.5","2.2999999999999998","2.8","24","53","89","0.08","0.23","0.3","0.08","0.3","0.04","0.17","0.21","0.04","0.21","Matches",3.09104245335832
"455","James Tarkowski","eng ENG","DF","Burnley",25,"1992","35","35",3086,"34.299999999999997","3","1","4","3","0","0","8","0","3.3","3.3","0.3","3.6","4","105","6","0.09","0.03","0.12","0.09","0.12","0.1","0.01","0.11","0.1","0.11","Matches",3.2188758248682
"456","Charlie Taylor","eng ENG","DF","Burnley",24,"1993","38","35",3243,"36","0","1","1","0","0","0","2","0","0.2","0.2","1.5","1.7","93","97","94","0","0.03","0.03","0","0.03","0","0.04","0.05","0","0.05","Matches",3.17805383034795
"457","Youri Tielemans","be BEL","MF","Leicester City",21,"1997","13","13",1086,"12.1","3","4","7","3","0","0","2","0","1.8","1.8","2.5","4.3","24","85","53","0.25","0.33","0.57999999999999996","0.25","0.57999999999999996","0.15","0.21","0.36","0.15","0.36","Matches",3.04452243772342
"458","James Tomkins","eng ENG","DF","Crystal Palace",29,"1989","29","29",2560,"28.4","1","1","2","1","0","0","5","0","1.4","1.4","0.9","2.4","4","50","4","0.04","0.04","7.0000000000000007E-2","0.04","7.0000000000000007E-2","0.05","0.03","0.08","0.05","0.08","Matches",3.36729582998647
"459","Lucas Torreira","uy URU","MF","Arsenal",22,"1996","34","24",2382,"26.5","2","2","4","2","0","0","7","1","1.5","1.5","1.2","2.7","28","140","35","0.08","0.08","0.15","0.08","0.15","0.06","0.04","0.1","0.06","0.1","Matches",3.09104245335832
"460","Cenk Tosun","tr TUR","FW","Everton",27,"1991","25","10",1059,"11.8","3","3","6","3","0","0","3","0","5","5","0.9","5.9","11","16","90","0.25","0.25","0.51","0.25","0.51","0.43","7.0000000000000007E-2","0.5","0.43","0.5","Matches",3.29583686600433
"461","Andros Townsend","eng ENG","FW,MF","Crystal Palace",27,"1991","38","34",3009,"33.4","6","4","10","6","0","0","1","0","4.5999999999999996","4.5999999999999996","3.6","8.3000000000000007","144","106","280","0.18","0.12","0.3","0.18","0.3","0.14000000000000001","0.11","0.25","0.14000000000000001","0.25","Matches",3.29583686600433
"462","Adama Traoré","es ESP","FW,MF","Wolves",22,"1996","29","8",902,"10","1","1","2","1","0","0","1","0","1.3","1.3","2.2000000000000002","3.5","82","31","61","0.1","0.1","0.2","0.1","0.2","0.13","0.22","0.35","0.13","0.35","Matches",3.09104245335832
"463","Mark Travers","ie IRL","GK","Bournemouth",19,"1999","2","2",180,"2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Matches",2.94443897916644
"464","Kieran Trippier","eng ENG","DF","Tottenham",27,"1990","27","26",2276,"25.3","1","3","4","1","0","0","2","0","0.5","0.5","4.0999999999999996","4.5999999999999996","40","179","200","0.04","0.12","0.16","0.04","0.16","0.02","0.16","0.18","0.02","0.18","Matches",3.29583686600433
"465","Antonio Valencia","ec ECU","DF","Manchester Utd",32,"1985","6","5",466,"5.2","0","0","0","0","0","0","2","0","0.1","0.1","0.5","0.5","18","25","21","0","0","0","0","0","0.01","0.09","0.1","0.01","0.1","Matches",3.46573590279973
"466","Yan Valery","tn TUN","DF","Southampton",19,"1999","23","20",1712,"19","2","1","3","2","0","0","4","1","0.7","0.7","0.2","0.9","54","33","77","0.11","0.05","0.16","0.11","0.16","0.04","0.01","0.05","0.04","0.05","Matches",2.94443897916644
"467","Virgil van Dijk","nl NED","DF","Liverpool",27,"1991","38","38",3384,"37.6","4","2","6","4","0","0","1","0","3.1","3.1","1.4","4.5999999999999996","20","174","20","0.11","0.05","0.16","0.11","0.16","0.08","0.04","0.12","0.08","0.12","Matches",3.29583686600433
"468","Jamie Vardy","eng ENG","FW","Leicester City",31,"1987","34","30",2726,"30.3","18","4","22","14","4","5","3","1","18.3","14.4","5.0999999999999996","19.5","45","39","186","0.59","0.13","0.73","0.46","0.59","0.6","0.17","0.77","0.47","0.64","Matches",3.43398720448515
"469","Jan Vertonghen","be BEL","DF","Tottenham",31,"1987","22","22",1911,"21.2","1","0","1","1","0","0","4","1","1","1","0.2","1.3","27","121","24","0.05","0","0.05","0.05","0.05","0.05","0.01","0.06","0.05","0.06","Matches",3.43398720448515
"470","Jannik Vestergaard","dk DEN","DF","Southampton",25,"1992","23","23",2027,"22.5","0","0","0","0","0","0","2","0","0.7","0.7","0.6","1.3","14","62","4","0","0","0","0","0","0.03","0.03","0.06","0.03","0.06","Matches",3.2188758248682
"471","Luciano Vietto","ar ARG","FW,MF","Fulham",24,"1993","20","10",986,"11","1","4","5","1","0","0","1","0","2.9","2.9","2.1","5","33","35","107","0.09","0.37","0.46","0.09","0.46","0.27","0.2","0.46","0.27","0.46","Matches",3.17805383034795
"472","Rúben Vinagre","pt POR","DF,MF","Wolves",19,"1999","17","7",710,"7.9","0","0","0","0","0","0","1","0","0.5","0.5","0.8","1.2","45","22","63","0","0","0","0","0","0.06","0.1","0.16","0.06","0.16","Matches",2.94443897916644
"473","Sam Vokes","wls WAL","FW","Burnley",28,"1989","20","10",915,"10.199999999999999","3","0","3","3","0","0","0","0","2.4","2.4","1.3","3.6","3","15","55","0.3","0","0.3","0.3","0.3","0.23","0.12","0.36","0.23","0.36","Matches",3.3322045101752
"474","Michel Vorm","nl NED","GK","Tottenham",34,"1983","2","2",180,"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matches",3.52636052461616
"475","Matěj Vydra","cz CZE","FW","Burnley",26,"1992","13","3",318,"3.5","1","1","2","1","0","0","1","0","1.8","1.8","0.5","2.2999999999999998","3","3","15","0.28000000000000003","0.28000000000000003","0.56999999999999995","0.28000000000000003","0.56999999999999995","0.52","0.13","0.65","0.52","0.65","Matches",3.25809653802148
"476","Theo Walcott","eng ENG","FW,MF","Everton",29,"1989","37","24",2119,"23.5","5","2","7","5","0","0","1","0","5.7","5.7","2.7","8.4","50","52","167","0.21","0.08","0.3","0.21","0.3","0.24","0.12","0.36","0.24","0.36","Matches",3.36729582998647
"477","Kyle Walker","eng ENG","DF","Manchester City",28,"1990","33","30",2779,"30.9","1","1","2","1","0","0","3","0","0.8","0.8","1.9","2.7","83","220","92","0.03","0.03","0.06","0.03","0.06","0.03","0.06","0.09","0.03","0.09","Matches",3.3322045101752
"478","Kyle Walker-Peters","eng ENG","DF","Tottenham",21,"1997","6","4",376,"4.2","0","3","3","0","0","0","1","0","0.3","0.3","0.5","0.8","15","13","17","0","0.72","0.72","0","0.72","0.08","0.11","0.19","0.08","0.19","Matches",3.04452243772342
"479","Aaron Wan-Bissaka","eng ENG","DF","Crystal Palace",20,"1997","35","35",3134,"34.799999999999997","0","3","3","0","0","0","4","1","0.5","0.5","2.1","2.6","100","159","119","0","0.09","0.09","0","0.09","0.01","0.06","7.0000000000000007E-2","0.01","7.0000000000000007E-2","Matches",2.99573227355399
"480","Victor Wanyama","ke KEN","MF","Tottenham",27,"1991","13","4",516,"5.7","1","0","1","1","0","0","2","0","1","1","0.1","1","13","28","6","0.17","0","0.17","0.17","0.17","0.17","0.01","0.18","0.17","0.18","Matches",3.29583686600433
"481","Danny Ward","eng ENG","FW","Cardiff City",26,"1991","14","4",445,"4.9000000000000004","1","0","1","1","0","0","0","0","0.6","0.6","0.3","0.9","7","9","27","0.2","0","0.2","0.2","0.2","0.12","7.0000000000000007E-2","0.19","0.12","0.19","Matches",3.25809653802148
"482","Joel Ward","eng ENG","DF","Crystal Palace",28,"1989","7","6",552,"6.1","1","0","1","1","0","0","1","0","0.6","0.6","0.1","0.7","6","18","18","0.16","0","0.16","0.16","0.16","0.09","0.02","0.11","0.09","0.11","Matches",3.3322045101752
"483","Stephen Ward","ie IRL","DF","Burnley",32,"1985","3","3",228,"2.5","0","0","0","0","0","0","1","0","0.1","0.1","0","0.1","8","10","5","0","0","0","0","0","0.02","0.02","0.04","0.02","0.04","Matches",3.46573590279973
"484","James Ward-Prowse","eng ENG","MF,DF","Southampton",23,"1994","26","21",1945,"21.6","7","0","7","6","1","1","4","0","3.4","2.7","3.2","5.9","15","61","86","0.32","0","0.32","0.28000000000000003","0.28000000000000003","0.16","0.15","0.31","0.12","0.27","Matches",3.13549421592915
"485","Danny Welbeck","eng ENG","FW,MF","Arsenal",27,"1990","8","1",153,"1.7","1","1","2","1","0","0","0","0","0.8","0.8","0.3","1.1000000000000001","6","10","11","0.59","0.59","1.18","0.59","1.18","0.47","0.18","0.65","0.47","0.65","Matches",3.29583686600433
"486","Ashley Westwood","eng ENG","MF","Burnley",28,"1990","34","31",2824,"31.4","2","7","9","2","0","0","5","0","1.9","1.9","4.8","6.7","16","175","40","0.06","0.22","0.28999999999999998","0.06","0.28999999999999998","0.06","0.15","0.21","0.06","0.21","Matches",3.3322045101752
"487","Connor Wickham","eng ENG","FW,MF","Crystal Palace",25,"1993","6","0",67,"0.7","0","1","1","0","0","0","0","0","0.4","0.4","0.3","0.7","0","0","1","0","1.34","1.34","0","1.34","0.5","0.43","0.92","0.5","0.92","Matches",3.2188758248682
"488","Georginio Wijnaldum","nl NED","MF","Liverpool",27,"1990","35","32",2725,"30.3","3","0","3","3","0","0","3","0","3","3","1.8","4.8","47","168","67","0.1","0","0.1","0.1","0.1","0.1","0.06","0.16","0.1","0.16","Matches",3.29583686600433
"489","Danny Williams","us USA","MF","Huddersfield",29,"1989","5","1",96,"1.1000000000000001","0","0","0","0","0","0","1","0","0","0","0","0.1","1","3","1","0","0","0","0","0","0.02","0.04","0.06","0.02","0.06","Matches",3.36729582998647
"490","Willian","br BRA","FW","Chelsea",29,"1988","32","26",2097,"23.3","3","6","9","3","0","0","2","0","4.2","4.2","5.4","9.6","143","141","283","0.13","0.26","0.39","0.13","0.39","0.18","0.23","0.41","0.18","0.41","Matches",3.36729582998647
"491","Joe Willock","eng ENG","MF,FW","Arsenal",18,"1999","2","1",64,"0.7","0","0","0","0","0","0","0","0","0.1","0.1","0","0.1","0","1","7","0","0","0","0","0","0.16","0","0.16","0.16","0.16","Matches",2.89037175789616
"492","Ben Wilmot","eng ENG","MF,DF","Watford",18,"1999","2","0",28,"0.3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","Matches",2.89037175789616
"493","Jack Wilshere","eng ENG","MF","West Ham",26,"1992","8","4",392,"4.4000000000000004","0","1","1","0","0","0","2","0","0.2","0.2","0.6","0.8","8","20","10","0","0.23","0.23","0","0.23","0.04","0.14000000000000001","0.17","0.04","0.17","Matches",3.25809653802148
"494","Callum Wilson","eng ENG","FW","Bournemouth",26,"1992","30","29",2528,"28.1","14","9","23","13","1","2","3","0","13.4","11.9","5.4","17.2","49","44","197","0.5","0.32","0.82","0.46","0.78","0.48","0.19","0.67","0.42","0.61","Matches",3.25809653802148
"495","Harry Winks","eng ENG","MF","Tottenham",22,"1996","26","17",1597,"17.7","1","0","1","1","0","0","4","0","1","1","0.3","1.3","56","124","19","0.06","0","0.06","0.06","0.06","0.06","0.01","7.0000000000000007E-2","0.06","7.0000000000000007E-2","Matches",3.09104245335832
"496","Chris Wood","nz NZL","FW","Burnley",26,"1991","38","29",2588,"28.8","10","2","12","10","0","0","2","0","8.8000000000000007","8.8000000000000007","3.8","12.6","13","25","199","0.35","7.0000000000000007E-2","0.42","0.35","0.42","0.31","0.13","0.44","0.31","0.44","Matches",3.25809653802148
"497","Granit Xhaka","ch SUI","MF,DF","Arsenal",25,"1992","29","29",2498,"27.8","4","2","6","4","0","0","10","0","2","2","3.4","5.4","37","258","34","0.14000000000000001","7.0000000000000007E-2","0.22","0.14000000000000001","0.22","7.0000000000000007E-2","0.12","0.2","7.0000000000000007E-2","0.2","Matches",3.2188758248682
"498","Andriy Yarmolenko","ua UKR","MF,FW","West Ham",28,"1989","9","5",459,"5.0999999999999996","2","0","2","2","0","0","2","0","1.1000000000000001","1.1000000000000001","0.8","1.8","18","22","28","0.39","0","0.39","0.39","0.39","0.21","0.15","0.36","0.21","0.36","Matches",3.3322045101752
"499","DeAndre Yedlin","us USA","DF","Newcastle Utd",25,"1993","29","28",2473,"27.5","1","2","3","1","0","0","6","1","1.2","1.2","2","3.1","38","66","104","0.04","7.0000000000000007E-2","0.11","0.04","0.11","0.04","7.0000000000000007E-2","0.11","0.04","0.11","Matches",3.2188758248682
"500","Maya Yoshida","jp JPN","DF","Southampton",29,"1988","17","17",1518,"16.899999999999999","0","1","1","0","0","0","0","0","1.9","1.9","0.5","2.4","1","34","4","0","0.06","0.06","0","0.06","0.11","0.03","0.14000000000000001","0.11","0.14000000000000001","Matches",3.36729582998647
"501","Ashley Young","eng ENG","DF","Manchester Utd",33,"1985","30","28",2569,"28.5","2","2","4","2","0","0","9","1","0.5","0.5","3.1","3.6","71","155","124","7.0000000000000007E-2","7.0000000000000007E-2","0.14000000000000001","7.0000000000000007E-2","0.14000000000000001","0.02","0.11","0.13","0.02","0.13","Matches",3.49650756146648
"502","Pablo Zabaleta","ar ARG","DF","West Ham",33,"1985","26","23",2092,"23.2","0","1","1","0","0","0","4","0","0.2","0.2","1","1.2","31","103","107","0","0.04","0.04","0","0.04","0.01","0.04","0.05","0.01","0.05","Matches",3.49650756146648
"503","Wilfried Zaha","ci CIV","FW","Crystal Palace",25,"1992","34","34",3036,"33.700000000000003","10","5","15","10","0","0","9","1","5.7","5.7","4.8","10.6","182","141","355","0.3","0.15","0.44","0.3","0.44","0.17","0.14000000000000001","0.31","0.17","0.31","Matches",3.2188758248682
"504","Andre-Frank Zambo Anguissa","cm CMR","MF","Fulham",22,"1995","22","16",1517,"16.899999999999999","0","0","0","0","0","0","2","1","0.8","0.8","0.2","1","34","112","20","0","0","0","0","0","0.05","0.01","0.06","0.05","0.06","Matches",3.09104245335832
"505","Davide Zappacosta","it ITA","DF","Chelsea",26,"1992","4","1",128,"1.4","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.2","5","3","6","0","0","0","0","0","0.06","0.09","0.15","0.06","0.15","Matches",3.25809653802148
"506","Oleksandr Zinchenko","ua UKR","DF","Manchester City",21,"1996","14","14",1151,"12.8","0","3","3","0","0","0","1","0","0.2","0.2","1.5","1.7","47","95","94","0","0.23","0.23","0","0.23","0.01","0.12","0.13","0.01","0.13","Matches",3.04452243772342
"507","Kenneth Zohore","dk DEN","FW","Cardiff City",24,"1994","19","7",753,"8.4","1","1","2","1","0","0","1","0","1.7","1.7","1.1000000000000001","2.8","10","5","57","0.12","0.12","0.24","0.12","0.24","0.2","0.13","0.33","0.2","0.33","Matches",3.17805383034795
